station_name,location,year_opened,wiggle_ranking
Marble Arch,"[lon, lat]",0,0.0
Marylebone,"[lon, lat]",0,0.0
Mile End,"[lon, lat]",0,0.0
Mill Hill East,"[lon, lat]",0,0.0
Monument,"[lon, lat]",0,0.0
Moor Park,"[lon, lat]",0,0.0
Moorgate,"[lon, lat]",0,0.0
Morden,"[lon, lat]",0,0.0
Mornington Crescent,"[lon, lat]",0,0.0
Neasden,"[lon, lat]",0,0.0
Newbury Park,"[lon, lat]",0,0.0
Nine Elms,"[lon, lat]",0,0.0
North Acton,"[lon, lat]",0,0.0
North Ealing,"[lon, lat]",0,0.0
North Greenwich,"[lon, lat]",0,0.0
North Harrow,"[lon, lat]",0,0.0
North Wembley,"[lon, lat]",0,0.0
Northfields,"[lon, lat]",0,0.0
Northholt,"[lon, lat]",0,0.0
Northwick Park,"[lon, lat]",0,0.0
Northwood,"[lon, lat]",0,0.0
Northwood Hills,"[lon, lat]",0,0.0
Notting Hill Gate,"[lon, lat]",0,0.0
Oakwood,"[lon, lat]",0,0.0
Old Street,"[lon, lat]",0,0.0
Osterley,"[lon, lat]",0,0.0
Oval,"[lon, lat]",0,0.0
Oxford Circus,"[lon, lat]",0,0.0
Paddington,"[lon, lat]",0,0.0
Park Royal,"[lon, lat]",0,0.0
Parsons Green,"[lon, lat]",0,0.0
Perivale,"[lon, lat]",0,0.0
Piccadilly Circus,"[lon, lat]",0,0.0
Pimlico,"[lon, lat]",0,0.0
Pinner,"[lon, lat]",0,0.0
Plaistow,"[lon, lat]",0,0.0
Preston Road,"[lon, lat]",0,0.0
Putney Bridge,"[lon, lat]",0,0.0
Queens Park,"[lon, lat]",0,0.0
Queensbury,"[lon, lat]",0,0.0
Queensway,"[lon, lat]",0,0.0
Ravenscourt Park,"[lon, lat]",0,0.0
Rayners Lane,"[lon, lat]",0,0.0
Redbridge,"[lon, lat]",0,0.0
Regent's Park,"[lon, lat]",0,0.0
Richmond,"[lon, lat]",0,0.0
Rickmansworth,"[lon, lat]",0,0.0
Roding Valley,"[lon, lat]",0,0.0
Royal Oak,"[lon, lat]",0,0.0
Ruislip,"[lon, lat]",0,0.0
Ruislip Gardens,"[lon, lat]",0,0.0
Ruislip Manor,"[lon, lat]",0,0.0
Russell Square,"[lon, lat]",0,0.0
Seven Sisters,"[lon, lat]",0,0.0
Shepherd's Bush Market,"[lon, lat]",0,0.0
Shepherds's Bush,"[lon, lat]",0,0.0
Sloane Square,"[lon, lat]",0,0.0
Snaresbrook,"[lon, lat]",0,0.0
South Ealing,"[lon, lat]",0,0.0
South Harrow,"[lon, lat]",0,0.0
South Kensington,"[lon, lat]",0,0.0
South Kenton,"[lon, lat]",0,0.0
South Ruislip,"[lon, lat]",0,0.0
South Wimbledon,"[lon, lat]",0,0.0
South Woodford,"[lon, lat]",0,0.0
Southfields,"[lon, lat]",0,0.0
Southgate,"[lon, lat]",0,0.0
Southwark,"[lon, lat]",0,0.0
St James's Park,"[lon, lat]",0,0.0
St Paul's,"[lon, lat]",0,0.0
St. James's Park,"[lon, lat]",0,0.0
St. John's Wood,"[lon, lat]",0,0.0
Stamford Brook,"[lon, lat]",0,0.0
Stanmore,"[lon, lat]",0,0.0
Stepney Green,"[lon, lat]",0,0.0
Stockwell,"[lon, lat]",0,0.0
Stonebridge Park,"[lon, lat]",0,0.0
Stratford,"[lon, lat]",0,0.0
Sudbury Hill,"[lon, lat]",0,0.0
