station_name,from_station,to_station,heading_west,travel_time_seconds,distance_km,uuid
Liverpool Street,C37,C36,True,0,0,d30a904d-28e0-463e-8979-c253afd0d3fb
Liverpool Street,C37,C38,False,0,0,8dd41995-cb42-49b5-b156-dd63ead7ea82
Bethnal Green,C38,C37,True,0,0,952ae55a-ab06-471e-92b7-339aa5f6e103
Bethnal Green,C38,C39,False,0,0,c3a2b865-40f0-4a3a-97af-404915233195
Mile End,C39,C38,True,0,0,ce417dcf-6eb9-4929-b373-b2b20b719914
Mile End,C39,C40,False,0,0,6a820684-8393-4434-b75d-eadf3bd2be9e
Stratford,C40,C39,True,0,0,b439433d-1569-4446-8808-1ad5a2d08025
Stratford,C40,C41,False,0,0,c02b8fee-8562-410c-8774-38607adf4221
Leyton,C41,C40,True,0,0,d8052782-75b2-4466-9a57-d972d075c25d
Leyton,C41,C42,False,0,0,ca6f3c5f-9a80-4230-b458-cc0e95a74d1f
Leytonstone,C42,C41,True,0,0,fb0f1a5b-2ac2-4ed6-a1f8-71601c108a58
Leytonstone,C42,C0,True,0,0,c9ec0730-99df-47ce-b423-d19fe51e9963
Leytonstone,C42,C43,False,0,0,9667b40c-068e-4324-b774-9150d844651c
Snaresbrook,C43,C42,True,0,0,5ea248f3-0c50-45c8-a325-9b3a4ad9bf0f
Snaresbrook,C43,C44,False,0,0,6bd6bd44-4c89-4684-bca6-2b5213a69757
South Woodford,C44,C43,True,0,0,2cf4bdbd-0c26-4940-8613-f6c3742a2b5d
South Woodford,C44,C45,False,0,0,fadc4a71-1d89-4a4d-b9da-6dfb9e1d0d0b
Woodford,C45,C44,True,0,0,7384580b-7aee-4c08-b2b4-51d755185505
Woodford,C45,C9,True,0,0,fac74cf0-1bba-416f-89f7-7a72f8188b42

Woodford,C45,C46,False,0,0,4d7c1829-8dec-4307-97ca-c785050d4dc0
Buckhurst Hill,C46,C45,True,0,0,abb2e6b5-375d-47dc-b7f7-fcc68b04ac19
Buckhurst Hill,C46,C47,False,0,0,2f223250-c045-45e7-b465-5eb314c36796
Loughton,C47,C46,True,0,0,1cdef7a9-8427-41af-9fcd-13f7f51a6b9c
Loughton,C47,C48,False,0,0,9a6da64b-62f1-4efe-9b93-eec7cf181c2f
Debden,C48,C47,True,0,0,e6b140a4-827b-4530-baf6-6b33f4ad6fdf
Debden,C48,C49,False,0,0,e8dca407-f4ff-4b53-832b-a4f6c6cedc52
Theydon Bois,C49,C48,True,0,0,b3eb9c4e-fb2e-40c2-a646-97af54fcae77
Theydon Bois,C49,C50,False,0,0,cb92a160-7260-476b-9036-49b3d6a99a50
Epping,C50,C49,True,0,0,ecb69ce7-3b5c-42de-8902-461c64b922c8
