station_name,from_station,to_station,heading_west,travel_time_seconds,distance_km,uuid
Embankment,D38,D39,False,0,0,cec1cfa2-2a1a-4bec-8f07-04030fc907ac
Temple,D39,D38,True,0,0,649348b1-e4d0-450c-bfc1-b15ddec60aef
Temple,D39,D40,False,0,0,cde20968-7d92-42b1-b3eb-f8d9f44a98d6
Blackfriars,D40,D39,True,0,0,a7118be1-8ddc-4ace-91b9-e5e433dd70c1
Blackfriars,D40,D41,False,0,0,cd3e8aea-2f04-4c78-a357-887dd20c3134
Mansion House,D41,D40,True,0,0,df65dd55-efba-4b31-9ee4-ea16e6a097e3
Mansion House,D41,D42,False,0,0,838cfd71-72a4-46a5-b52e-515bf2626806
Cannon Street,D42,D41,True,0,0,5af40574-e57f-4d90-af98-3dda825b36e6
Cannon Street,D42,D43,False,0,0,60689e05-11c0-49ca-8acc-1fa725e8d003
Monument,D43,D42,True,0,0,d0381916-982f-4653-8529-e7c0f9410d46
Monument,D43,D44,False,0,0,d0f77971-fc1b-4be3-afaf-6e98adcda474
Tower Hill,D44,D43,True,0,0,8875d6fd-5f1f-4a38-beb3-74f4bbcf985c
Tower Hill,D44,D45,False,0,0,b78e9caf-3fdd-4900-9631-edb00f1de051
Aldgate East,D45,D44,True,0,0,f72cc463-0e72-4d5e-8272-4e63740be1b7
Aldgate East,D45,D46,False,0,0,e2e3c0a2-2690-4231-bc04-7e2ba5125125
Whitechapel,D46,D45,True,0,0,45c73416-ef0e-434c-8dce-beb4035471bb
Whitechapel,D46,D47,False,0,0,47642698-7c48-4e3b-b28a-33d70defbccd
Stepney Green,D47,D46,True,0,0,418b84be-cdcf-490c-86bb-fb6a9a857e0a
Stepney Green,D47,D48,False,0,0,3c6b58f5-0f59-408c-8f69-44c2d9d9344e
Mile End,D48,D47,True,0,0,b40eafee-6172-4602-bb87-499a0016fafa
Mile End,D48,D49,False,0,0,bbeb47e5-bd0d-4d1f-968b-558c24933f43
Bow Road,D49,D48,True,0,0,55e174f4-b932-4bf9-9639-38e362ef28da
Bow Road,D49,D50,False,0,0,2d2c3202-7d78-4249-ab21-70bbd9982140
Bromley-by-Bow,D50,D49,True,0,0,20e5e776-dec5-487b-bc3a-43ce4f68ccca
Bromley-by-Bow,D50,D51,False,0,0,505a240a-18fa-4fe2-90b9-882489d24ed1
West Ham,D51,D50,True,0,0,1ec43e6a-86cc-4ef8-af46-5e2dea14f8a9
West Ham,D51,D52,False,0,0,4a836380-6a9e-4b65-aa05-a7f976edb922
