station_name,from_station,to_station,heading_west_or_south,travel_time_seconds,distance_km,uuid
Gloucester Road,P32,P31,True,0,0,5125794e-82ee-442c-94dd-19e2ea15ad3b
Gloucester Road,P32,P33,False,0,0,7409255d-3255-4a9b-bdac-d53a2f87f345
South Kensington,P33,P32,True,0,0,2be95ba1-5ef8-49ed-8f0a-104cceec7466
South Kensington,P33,P34,False,0,0,fd2e618e-7970-410a-8cec-a435140c94c8
Knightsbridge,P34,P33,True,0,0,de72235d-8ebf-4f15-b6c2-e33811b8ea59
Knightsbridge,P34,P35,False,0,0,d287512b-0228-47e9-b3b7-656c9811569d
Hyde Park Corner,P35,P34,True,0,0,4e06a38d-78e1-493f-822b-84c4950cf22b
Hyde Park Corner,P35,P36,False,0,0,a09b670f-2483-4f72-b1eb-8c5080a878c0
Green Park,P36,P35,True,0,0,3f307d57-354b-460d-8be4-ce1212bcd9f7
Green Park,P36,P37,False,0,0,dbeb81a6-af83-4df5-9f98-6aaf3b61979f
Piccadilly Circus,P37,P36,True,0,0,f0fa06dd-cc18-4dc1-aedb-048345856c3a
Piccadilly Circus,P37,P38,False,0,0,15ad5dce-efec-4b4e-9427-ae6fd9b81066
Leicester Square,P38,P37,True,0,0,677ec2dd-4316-49f9-b571-1e938d6851f4
Leicester Square,P38,P39,False,0,0,4fe4716b-78e1-48e8-9285-3ba91922ca53
Covent Garden,P39,P38,True,0,0,b6cf6a7a-c296-4f77-b48d-b28bc253b4f9
Covent Garden,P39,P40,False,0,0,4492a346-fa9c-4b22-ba64-d9924cd0bb56
Holborn,P40,P39,True,0,0,d442166f-1057-4fe9-a588-cec97145a977
Holborn,P40,P41,False,0,0,cfdc4bbc-350c-47c3-860c-c629330c7d73
Russell Square,P41,P40,True,0,0,030a60df-0799-4c2b-8c17-85ed23348525
Russell Square,P41,P42,False,0,0,8c599e20-a250-435f-964a-1161066f360b
King's Cross St Pancras,P42,P41,True,0,0,65589838-13bf-4315-8190-382eec484a32
King's Cross St Pancras,P42,P43,False,0,0,7bcf7dbc-cee3-4f8f-83b5-54219409d455
Caledonian Road,P43,P42,True,0,0,226a6df0-6172-4dbf-99f6-0e9155a1db5f
Caledonian Road,P43,P44,False,0,0,5e22f7f2-eb89-4896-9f96-1174e8cf563e
Holloway Road,P44,P43,True,0,0,3f130bde-b6f4-4dc5-8ab4-7dbc9a75d0d8
Holloway Road,P44,P45,False,0,0,1681fceb-dd38-4ca6-a681-fb9a95d8b36b
Arsenal,P45,P44,True,0,0,6f61c68e-565a-4ada-a3fe-572148ede9c0
Arsenal,P45,P46,False,0,0,5509c629-d2e4-4889-b054-19bf89a1eb1f
Finsbury Park,P46,P45,True,0,0,36eddaa3-3afd-46c8-8d88-eead40107950
Finsbury Park,P46,P47,False,0,0,460a51c2-ce0e-44fc-a77d-4848462c5a7d
Manor House,P47,P46,True,0,0,f1d14fc0-a169-490b-acb0-9170cf63a21d
Manor House,P47,P48,False,0,0,911c1189-ad4f-413f-9e06-166cdc43548d
Turnpike Lane,P48,P47,True,0,0,3d542aa7-f334-4198-851d-d5fa2a5794b6
Turnpike Lane,P48,P49,False,0,0,d583bb7f-60ca-4c65-873c-7404fa332a3e
Wood Green,P49,P48,True,0,0,1c503d52-494f-4cbe-a928-814d682c733e
Wood Green,P49,P50,False,0,0,4c83d56e-5ba2-44dc-b2ad-65de49b4bc22
Bounds Green,P50,P49,True,0,0,ebbf596a-1704-4458-931c-7efc1a16db4f
Bounds Green,P50,P51,False,0,0,16f24746-40ac-462c-ab5e-88b2b29f4f97
Arnos Grove,P51,P50,True,0,0,bcfc1789-aa37-44e4-9ffd-d078396fefe1
Arnos Grove,P51,P52,False,0,0,f0ab8d0f-1f29-474d-a393-b275c674aecc
Southgate,P52,P51,True,0,0,657a9aeb-9fb5-4c35-a5dd-72fddbdea8c4
Southgate,P52,P53,False,0,0,da0dc536-6b9e-4e18-9d68-422e67ad0112
Oakwood,P53,P52,True,0,0,f98860e8-a1a2-4b61-8d43-ae2bebedf5b8
Oakwood,P53,P54,False,0,0,2f5aba1c-b1b6-4b2c-97ed-1b89b4543beb
Cockfosters,P54,P53,True,0,0,921d6e9b-b750-4bc4-9567-eff73a099cd1
